,0
totalDebt,96798998528
quickRatio,0.783
currentRatio,0.923
totalRevenue,395760009216
debtToEquity,145.0
revenuePerShare,25.974
returnOnAssets,0.22518998
returnOnEquity,1.3652
grossProfits,184102993920
freeCashflow,93833871360
operatingCashflow,108293996544
earningsGrowth,0.101
revenueGrowth,0.04
grossMargins,0.46519002
ebitdaMargins,0.34706002
operatingMargins,0.34459
financialCurrency,USD
symbol,AAPL
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
shortName,Apple Inc.
exchange,NMS
messageBoardId,finmb_24937
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
gmtOffSetMilliseconds,-18000000
market,us_market
corporateActions,[]
regularMarketTime,1740771076
marketState,REGULAR
longName,Apple Inc.
esgPopulated,False
regularMarketChangePercent,0.26127058
regularMarketPrice,237.92
sourceInterval,15
exchangeDataDelayedBy,0
averageAnalystRating,2.1 - Buy
cryptoTradeable,False
hasPrePostMarketData,True
fiftyTwoWeekChangePercent,32.08282
dividendDate,1739404800
earningsTimestamp,1738272600
earningsTimestampStart,1746010740
earningsTimestampEnd,1746446400
earningsCallTimestampStart,1738274400
earningsCallTimestampEnd,1738274400
isEarningsDateEstimate,True
epsTrailingTwelveMonths,6.29
epsForward,8.31
epsCurrentYear,7.33658
priceEpsCurrentYear,32.42928
fiftyDayAverageChange,-2.4268036
fiftyDayAverageChangePercent,-0.010097091
twoHundredDayAverageChange,12.332642
twoHundredDayAverageChangePercent,0.05466903
firstTradeDateMilliseconds,345479400000
regularMarketChange,0.6199951
regularMarketDayRange,234.51 - 238.3083
fullExchangeName,NasdaqGS
averageDailyVolume3Month,50200878
fiftyTwoWeekLowChange,73.84
fiftyTwoWeekLowChangePercent,0.45002434
fiftyTwoWeekRange,164.08 - 260.1
fiftyTwoWeekHighChange,-22.180008
fiftyTwoWeekHighChangePercent,-0.08527492
displayName,Apple
trailingPegRatio,2.1978
